sat_id,x0_m,y0_m,vx0_ms,vy0_ms,euler_class,euler_energy,euler_final_x_m,euler_final_y_m,rk4_class,rk4_energy,rk4_final_x_m,rk4_final_y_m
65,8090480.519,0.000,0.000,5000.000,3,-3.678331e+07,4802284.441,4334995.861,3,-3.676783e+07,4799660.697,4337970.115
66,8113857.143,0.000,0.000,5000.000,3,-3.664142e+07,4767230.199,4372767.814,3,-3.662589e+07,4764603.218,4375713.718
67,8137233.766,0.000,0.000,5000.000,3,-3.650033e+07,4732042.477,4410236.577,3,-3.648476e+07,4729412.738,4413154.329
68,8160610.390,0.000,0.000,5000.000,3,-3.636005e+07,4696729.653,4447404.569,3,-3.634444e+07,4694097.626,4450294.371
69,8183987.013,0.000,0.000,5000.000,3,-3.622057e+07,4661299.988,4484274.295,3,-3.620492e+07,4658666.140,4487136.356
70,8207363.636,0.000,0.000,5000.000,3,-3.608188e+07,4625761.636,4520848.341,3,-3.606620e+07,4623126.423,4523682.878
71,8230740.260,0.000,0.000,5000.000,3,-3.594398e+07,4590122.635,4557129.380,3,-3.592826e+07,4587486.509,4559936.614
72,8254116.883,0.000,0.000,5000.000,3,-3.580686e+07,4554390.912,4593120.161,3,-3.579111e+07,4551754.318,4595900.320
73,8277493.506,0.000,0.000,5000.000,3,-3.567050e+07,4518574.281,4628823.515,3,-3.565473e+07,4515937.656,4631576.833
74,8300870.130,0.000,0.000,5000.000,3,-3.553492e+07,4482680.443,4664242.348,3,-3.551912e+07,4480044.219,4666969.064
75,8324246.753,0.000,0.000,5000.000,3,-3.540009e+07,4446716.986,4699379.644,3,-3.538427e+07,4444081.586,4702080.001
76,8347623.377,0.000,0.000,5000.000,3,-3.526601e+07,4410691.386,4734238.457,3,-3.525017e+07,4408057.226,4736912.706
77,8371000.000,0.000,0.000,5000.000,3,-3.513271e+07,4367587.094,4770732.766,3,-3.511682e+07,4364953.721,4773377.112
78,6571000.000,0.000,0.000,5090.909,3,-4.770678e+07,6395816.745,978834.416,3,-4.770187e+07,6394921.067,983789.088
79,6594376.623,0.000,0.000,5090.909,3,-4.749226e+07,6378705.814,1087586.015,3,-4.748683e+07,6377717.374,1092509.756
80,6617753.247,0.000,0.000,5090.909,3,-4.727922e+07,6359858.320,1190754.862,3,-4.727331e+07,6358783.310,1195646.526
81,6641129.870,0.000,0.000,5090.909,3,-4.706762e+07,6342230.566,1283532.284,3,-4.706130e+07,6341079.436,1288393.018
82,6664506.494,0.000,0.000,5090.909,3,-4.685751e+07,6321854.472,1375722.910,3,-4.685077e+07,6320628.690,1380550.798
83,6687883.117,0.000,0.000,5090.909,3,-4.664881e+07,6304082.301,1457715.770,3,-4.664171e+07,6302791.933,1462513.024
84,6711259.740,0.000,0.000,5090.909,3,-4.644156e+07,6284248.549,1539197.263,3,-4.643411e+07,6282894.871,1543962.503
85,6734636.364,0.000,0.000,5090.909,3,-4.623572e+07,6265303.355,1615423.287,3,-4.622795e+07,6263891.840,1620157.400
86,6758012.987,0.000,0.000,5090.909,3,-4.603130e+07,6244633.602,1691165.240,3,-4.602322e+07,6243165.430,1695867.117
87,6781389.610,0.000,0.000,5090.909,3,-4.582827e+07,6225424.969,1761752.762,3,-4.581990e+07,6223905.411,1766423.724
88,6804766.234,0.000,0.000,5090.909,3,-4.562662e+07,6204794.140,1831894.597,3,-4.561798e+07,6203224.275,1836533.773
89,6828142.857,0.000,0.000,5090.909,3,-4.542633e+07,6186139.587,1896992.663,3,-4.541744e+07,6184524.484,1901601.754
90,6851519.481,0.000,0.000,5090.909,3,-4.522740e+07,6166332.260,1961691.310,3,-4.521826e+07,6164672.891,1966269.652
91,6874896.104,0.000,0.000,5090.909,3,-4.502983e+07,6145395.555,2025981.847,3,-4.502044e+07,6143692.891,2030528.799
92,6898272.727,0.000,0.000,5090.909,3,-4.483359e+07,6123352.505,2089855.853,3,-4.482397e+07,6121607.513,2094370.798
93,6921649.351,0.000,0.000,5090.909,3,-4.463868e+07,6100225.796,2153305.173,3,-4.462882e+07,6102208.148,2153342.874
94,6945025.974,0.000,0.000,5090.909,3,-4.444504e+07,6079900.715,2211911.968,3,-4.443498e+07,6078077.699,2216364.023
95,6968402.597,0.000,0.000,5090.909,3,-4.425271e+07,6058721.258,2270151.979,3,-4.424244e+07,6056862.438,2274573.317
96,6991779.221,0.000,0.000,5090.909,3,-4.406165e+07,6036705.942,2328020.161,3,-4.405119e+07,6034812.171,2332410.377
97,7015155.844,0.000,0.000,5090.909,3,-4.387187e+07,6013873.028,2385511.672,3,-4.386122e+07,6011945.155,2389870.379
98,7038532.468,0.000,0.000,5090.909,3,-4.368335e+07,5990240.533,2442621.867,3,-4.367251e+07,5988279.404,2446948.700
99,7061909.091,0.000,0.000,5090.909,3,-4.349605e+07,5970109.963,2495114.699,3,-4.348505e+07,5968119.904,2499412.442
100,7085285.714,0.000,0.000,5090.909,3,-4.331001e+07,5945014.294,2551487.435,3,-4.329882e+07,5942992.606,2555752.675
101,7108662.338,0.000,0.000,5090.909,3,-4.312516e+07,5923610.461,2603308.554,3,-4.311382e+07,5921561.360,2607544.207
102,7132038.961,0.000,0.000,5090.909,3,-4.294155e+07,5897116.956,2658930.042,3,-4.293003e+07,5895037.838,2663132.631
103,7155415.584,0.000,0.000,5090.909,3,-4.275911e+07,5874500.496,2710068.565,3,-4.274744e+07,5872395.465,2714241.129
104,7178792.208,0.000,0.000,5090.909,3,-4.257786e+07,5851335.155,2760880.384,3,-4.256604e+07,5849204.928,2765022.747
105,7202168.831,0.000,0.000,5090.909,3,-4.239778e+07,5827634.601,2811363.715,3,-4.238582e+07,5825479.892,2815475.714
106,7225545.455,0.000,0.000,5090.909,3,-4.221886e+07,5803412.331,2861516.917,3,-4.220677e+07,5801233.846,2865598.403
107,7248922.078,0.000,0.000,5090.909,3,-4.204110e+07,5778681.674,2911338.486,3,-4.202887e+07,5776480.118,2915389.325
108,7272298.701,0.000,0.000,5090.909,3,-4.186447e+07,5753455.800,2960827.059,3,-4.185211e+07,5751231.870,2964847.128
109,7295675.325,0.000,0.000,5090.909,3,-4.168898e+07,5727747.715,3009981.408,3,-4.167649e+07,5725502.105,3013970.597
110,7319051.948,0.000,0.000,5090.909,3,-4.151460e+07,5701570.273,3058800.440,3,-4.150199e+07,5699303.671,3062758.654
111,7342428.571,0.000,0.000,5090.909,3,-4.134134e+07,5674936.174,3107283.196,3,-4.132860e+07,5672649.262,3111210.352
112,7365805.195,0.000,0.000,5090.909,3,-4.116917e+07,5647857.967,3155428.851,3,-4.115631e+07,5645551.424,3159324.876
113,7389181.818,0.000,0.000,5090.909,3,-4.099809e+07,5620348.056,3203236.709,3,-4.098511e+07,5618022.554,3207101.544
114,7412558.442,0.000,0.000,5090.909,3,-4.082808e+07,5592418.699,3250706.204,3,-4.081499e+07,5590074.906,3254539.803
115,7435935.065,0.000,0.000,5090.909,3,-4.065911e+07,5569450.198,3294215.050,3,-4.064594e+07,5567091.440,3298021.093
116,7459311.688,0.000,0.000,5090.909,3,-4.049123e+07,5540777.794,3341047.749,3,-4.047795e+07,5538402.011,3344822.523
117,7482688.312,0.000,0.000,5090.909,3,-4.032440e+07,5511721.003,3387541.476,3,-4.031101e+07,5509328.848,3391284.969
118,7506064.935,0.000,0.000,5090.909,3,-4.015860e+07,5482291.533,3433696.163,3,-4.014511e+07,5479883.650,3437408.373
119,7529441.558,0.000,0.000,5090.909,3,-3.999380e+07,5458094.408,3476051.212,3,-3.998023e+07,5455673.895,3479735.960
120,7552818.182,0.000,0.000,5090.909,3,-3.983005e+07,5428010.356,3521570.367,3,-3.981638e+07,5425575.338,3525223.886
121,7576194.805,0.000,0.000,5090.909,3,-3.966730e+07,5397587.082,3566751.295,3,-3.965354e+07,5395138.187,3570373.613
122,7599571.429,0.000,0.000,5090.909,3,-3.950556e+07,5366835.766,3611594.404,3,-3.949171e+07,5364373.618,3615185.563
123,7622948.052,0.000,0.000,5090.909,3,-3.934480e+07,5335767.463,3656100.224,3,-3.933086e+07,5333292.678,3659660.273
124,7646324.675,0.000,0.000,5090.909,3,-3.918500e+07,5310251.098,3697017.271,3,-3.917100e+07,5307766.487,3700550.186
125,7669701.299,0.000,0.000,5090.909,3,-3.902620e+07,5278633.415,3740894.047,3,-3.901211e+07,5276137.331,3744396.004
126,7693077.922,0.000,0.000,5090.909,3,-3.886836e+07,5246730.293,3784436.046,3,-3.885419e+07,5244223.335,3787907.126
127,7716454.545,0.000,0.000,5090.909,3,-3.871147e+07,5214552.284,3827644.251,3,-3.869723e+07,5212035.044,3831084.544
128,7739831.169,0.000,0.000,5090.909,3,-3.855553e+07,5182109.815,3870519.755,3,-3.854121e+07,5179582.881,3873929.361
129,7763207.792,0.000,0.000,5090.909,3,-3.840050e+07,5155514.841,3910025.430,3,-3.838613e+07,5152980.733,3913408.444
130,7786584.416,0.000,0.000,5090.909,3,-3.824642e+07,5122622.005,3952283.702,3,-3.823199e+07,5120079.304,3955636.269
131,7809961.039,0.000,0.000,5090.909,3,-3.809326e+07,5089494.419,3994213.394,3,-3.807877e+07,5086943.693,3997535.640
132,7833337.662,0.000,0.000,5090.909,3,-3.794102e+07,5056142.024,4035816.026,3,-3.792646e+07,5053583.833,4039108.086
