step,sat_id,class,x_m,y_m,r_km
187,1,3,6433614.457,927345.637,6500.105
188,1,3,6431885.081,932221.302,6499.091
189,1,3,6430146.366,937095.613,6498.071
190,1,3,6428398.309,941968.562,6497.046
191,1,3,6426640.910,946840.143,6496.016
192,1,3,6424874.165,951710.346,6494.980
193,1,3,6423098.073,956579.166,6493.938
194,1,3,6421312.633,961446.592,6492.891
195,1,3,6419517.842,966312.619,6491.839
196,1,3,6417713.698,971177.238,6490.781
197,1,3,6415900.199,976040.441,6489.717
198,1,3,6414077.344,980902.221,6488.648
199,1,3,6412245.130,985762.570,6487.574
200,1,3,6410403.556,990621.480,6486.494
201,1,3,6408552.619,995478.943,6485.409
202,1,3,6406692.317,1000334.951,6484.318
203,1,3,6404822.650,1005189.497,6483.221
204,1,3,6402943.613,1010042.572,6482.119
205,1,3,6401055.206,1014894.169,6481.012
206,1,3,6399157.426,1019744.280,6479.899
207,1,3,6397250.272,1024592.898,6478.781
208,1,3,6395333.741,1029440.013,6477.657
209,1,3,6393407.831,1034285.619,6476.528
210,1,3,6391472.541,1039129.707,6475.393
211,1,3,6389527.867,1043972.270,6474.252
212,1,3,6387573.808,1048813.299,6473.107
213,1,3,6385610.362,1053652.787,6471.955
0,2,3,6617753.247,0.000,6617.753
1,2,3,6617748.696,4999.999,6617.751
2,2,3,6617735.044,9999.991,6617.743
3,2,3,6617712.290,14999.969,6617.729
4,2,3,6617680.434,19999.927,6617.711
5,2,3,6617639.477,24999.857,6617.687
6,2,3,6617589.418,29999.752,6617.657
7,2,3,6617530.257,34999.607,6617.623
8,2,3,6617461.995,39999.413,6617.583
9,2,3,6617384.630,44999.164,6617.538
10,2,3,6617298.164,49998.854,6617.487
11,2,3,6617202.596,54998.474,6617.431
12,2,3,6617097.925,59998.019,6617.370
13,2,3,6616984.152,64997.482,6617.303
14,2,3,6616861.277,69996.855,6617.231
15,2,3,6616729.299,74996.132,6617.154
16,2,3,6616588.219,79995.305,6617.072
17,2,3,6616438.036,84994.369,6616.984
18,2,3,6616278.750,89993.315,6616.891
19,2,3,6616110.361,94992.138,6616.792
20,2,3,6615932.868,99990.830,6616.688
21,2,3,6615746.273,104989.385,6616.579
22,2,3,6615550.573,109987.795,6616.465
23,2,3,6615345.770,114986.053,6616.345
24,2,3,6615131.862,119984.154,6616.220
25,2,3,6614908.850,124982.089,6616.089
26,2,3,6614676.734,129979.852,6615.954
27,2,3,6614435.513,134977.436,6615.813
28,2,3,6614185.187,139974.835,6615.666
29,2,3,6613925.755,144972.041,6615.514
30,2,3,6613657.218,149969.047,6615.357
31,2,3,6613379.575,154965.847,6615.195
32,2,3,6613092.827,159962.433,6615.027
33,2,3,6612796.971,164958.799,6614.854
34,2,3,6612492.009,169954.938,6614.676
35,2,3,6612177.940,174950.843,6614.492
36,2,3,6611854.764,179946.507,6614.303
37,2,3,6611522.479,184941.923,6614.109
38,2,3,6611181.087,189937.084,6613.909
39,2,3,6610830.587,194931.984,6613.704
40,2,3,6610470.977,199926.615,6613.494
41,2,3,6610102.259,204920.970,6613.278
42,2,3,6609724.431,209915.043,6613.057
43,2,3,6609337.493,214908.827,6612.831
44,2,3,6608941.444,219902.315,6612.599
45,2,3,6608536.285,224895.499,6612.362
46,2,3,6608122.015,229888.373,6612.120
47,2,3,6607698.634,234880.931,6611.872
